iter	Passed	Remaining
1599	69417	17354
1600	69457	17310
1601	69495	17265
1602	69526	17218
1603	69560	17173
1604	69600	17129
1605	69635	17083
1606	69679	17040
1607	69720	16996
1608	69756	16951
1609	69800	16908
1610	69840	16864
1611	69885	16821
1612	69920	16775
1613	69955	16730
1614	69993	16685
1615	70031	16641
1616	70064	16595
1617	70108	16552
1618	70137	16505
1619	70172	16460
1620	70207	16414
1621	70245	16370
1622	70279	16324
1623	70319	16280
1624	70354	16235
1625	70384	16189
1626	70413	16142
1627	70443	16096
1628	70475	16050
1629	70508	16004
1630	70541	15959
1631	70573	15913
1632	70613	15869
1633	70647	15824
1634	70696	15782
1635	70813	15755
1636	70858	15712
1637	70904	15669
1638	70947	15626
1639	70987	15582
1640	71029	15538
1641	71087	15498
1642	71146	15459
1643	71190	15415
1644	71225	15370
1645	71267	15327
1646	71311	15284
1647	71349	15239
1648	71391	15196
1649	71423	15150
1650	71456	15105
1651	71489	15059
1652	71521	15013
1653	71561	14969
1654	71593	14924
1655	71632	14880
1656	71676	14837
1657	71710	14791
1658	71744	14746
